iter	Passed	Remaining
0	147	147268
1	151	75629
2	154	51241
3	157	39141
4	160	31907
5	162	27003
6	165	23481
7	169	21057
8	172	18942
9	174	17277
10	177	15918
11	179	14776
12	180	13703
13	182	12843
14	183	12068
15	185	11405
16	187	10832
17	188	10295
18	190	9815
19	191	9385
20	192	8982
21	193	8617
22	195	8292
23	196	8010
24	198	7728
25	199	7478
26	201	7257
27	202	7045
28	204	6839
29	205	6646
30	207	6473
31	208	6298
32	209	6135
33	210	5981
34	211	5830
35	212	5693
36	213	5565
37	215	5443
38	216	5324
39	217	5221
40	218	5115
41	219	5015
42	221	4920
43	222	4830
44	223	4741
45	224	4658
46	225	4579
47	227	4508
48	229	4445
49	230	4375
50	231	4304
51	232	4240
52	233	4179
53	235	4119
54	236	4060
55	237	4010
56	238	3950
57	240	3899
58	241	3850
59	242	3802
60	243	3755
61	245	3711
62	246	3672
63	247	3626
64	249	3582
65	250	3541
66	251	3498
67	252	3459
68	253	3422
69	254	3385
70	255	3348
71	257	3313
72	258	3280
73	259	3247
74	260	3213
75	261	3181
76	262	3150
77	263	3119
78	265	3090
79	266	3060
80	267	3031
81	268	3004
82	269	2975
83	270	2948
84	271	2921
85	272	2897
86	273	2871
87	274	2848
88	276	2828
89	277	2806
90	278	2784
91	279	2761
92	280	2739
93	281	2716
94	282	2695
95	284	2676
96	285	2656
97	286	2635
98	287	2616
99	288	2597
100	289	2577
101	290	2558
102	292	2543
103	293	2527
104	294	2509
105	295	2491
106	296	2473
107	297	2457
108	298	2440
109	300	2428
110	301	2414
111	303	2406
112	304	2392
113	306	2382
114	307	2370
115	309	2357
116	310	2340
117	311	2327
118	312	2315
119	314	2305
120	315	2293
121	316	2279
122	317	2267
123	319	2256
124	320	2245
125	321	2232
126	322	2218
127	323	2205
128	325	2195
129	326	2182
130	327	2171
131	328	2160
132	329	2150
133	330	2136
134	331	2125
135	332	2115
136	333	2103
137	335	2093
138	336	2083
139	337	2073
140	338	2064
141	339	2052
142	340	2041
143	341	2031
144	342	2022
145	344	2012
146	345	2003
147	346	1994
148	347	1986
149	348	1977
150	350	1968
151	351	1958
152	352	1949
153	353	1940
154	354	1931
155	355	1923
156	356	1914
157	357	1906
158	358	1898
159	360	1891
160	361	1882
161	362	1876
162	363	1868
163	365	1862
164	366	1855
165	368	1849
166	369	1843
167	370	1837
168	372	1830
169	373	1824
170	374	1816
171	375	1809
172	377	1805
173	378	1798
174	380	1793
175	381	1786
176	382	1779
177	384	1773
178	385	1766
179	386	1761
180	387	1755
181	389	1749
182	390	1742
183	392	1738
184	393	1731
185	394	1725
186	395	1719
187	396	1712
188	397	1706
189	398	1699
190	399	1693
191	400	1687
192	402	1681
193	403	1675
194	404	1670
195	405	1664
196	406	1658
197	408	1653
198	409	1647
199	410	1641
200	411	1636
201	413	1634
202	414	1628
203	415	1622
204	416	1616
205	417	1610
206	418	1604
207	420	1599
208	421	1593
209	422	1588
210	423	1583
211	425	1580
212	426	1577
213	428	1572
214	429	1567
215	430	1562
216	431	1557
217	432	1551
218	433	1547
219	435	1542
220	436	1537
221	437	1532
222	438	1527
223	439	1523
224	440	1518
225	441	1513
226	443	1508
227	444	1504
228	445	1499
229	446	1496
230	448	1492
231	449	1488
232	450	1483
233	451	1479
234	452	1474
235	454	1470
236	455	1465
237	455	1459
238	457	1457
239	458	1452
240	459	1448
241	461	1444
242	462	1439
243	463	1435
244	464	1431
245	465	1428
246	466	1423
247	468	1420
248	469	1416
249	470	1412
250	471	1407
251	472	1403
252	473	1399
253	475	1395
254	476	1391
255	477	1387
256	478	1383
257	479	1379
258	480	1375
259	481	1370
260	483	1367
261	484	1364
262	485	1360
263	486	1356
264	487	1352
265	488	1348
266	489	1344
267	491	1341
268	492	1338
269	493	1334
270	494	1330
271	495	1326
272	496	1322
273	498	1319
274	499	1316
275	500	1312
276	501	1309
277	502	1306
278	503	1301
279	504	1298
280	506	1295
281	507	1291
282	508	1288
283	509	1284
284	510	1280
285	511	1277
286	512	1273
287	514	1270
288	515	1267
289	516	1264
290	517	1260
291	518	1257
292	519	1254
293	521	1251
294	522	1247
295	523	1244
296	524	1241
297	525	1238
298	526	1234
299	527	1231
300	528	1228
301	530	1224
302	531	1221
303	532	1218
304	533	1215
305	534	1212
306	535	1209
307	537	1206
308	538	1203
309	539	1200
310	540	1197
311	541	1194
312	542	1191
313	543	1187
314	544	1184
315	545	1181
316	547	1179
317	548	1176
318	549	1173
319	550	1170
320	552	1167
321	553	1164
322	554	1161
323	555	1158
324	556	1155
325	557	1152
326	558	1150
327	560	1147
328	561	1144
329	562	1141
330	563	1138
331	564	1135
332	565	1133
333	566	1130
334	567	1127
335	568	1124
336	570	1122
337	571	1119
338	572	1116
339	573	1113
340	574	1111
341	575	1108
342	577	1105
343	578	1102
344	579	1100
345	580	1097
346	582	1095
347	583	1092
348	584	1090
349	585	1087
350	586	1084
351	587	1082
352	588	1079
353	589	1076
354	591	1073
355	592	1072
356	593	1069
357	595	1067
358	596	1065
359	597	1063
360	599	1060
361	600	1058
362	601	1055
363	602	1053
364	603	1050
365	604	1047
366	605	1044
367	606	1042
368	607	1039
369	608	1036
370	610	1034
371	611	1031
372	612	1029
373	613	1026
374	614	1023
375	615	1020
376	616	1018
377	617	1015
378	618	1013
379	619	1010
380	620	1008
381	621	1005
382	623	1003
383	623	1000
384	624	998
385	626	996
386	627	993
387	628	991
388	629	989
389	630	986
390	631	984
391	633	982
392	634	979
393	635	977
394	636	974
395	637	972
396	638	970
397	639	967
398	641	965
399	642	963
400	643	960
401	644	958
402	645	956
403	646	954
404	648	952
405	649	949
406	650	947
407	651	945
408	652	943
409	654	941
410	655	939
411	656	936
412	657	934
413	659	933
414	660	931
415	661	928
416	662	926
417	664	924
418	665	922
419	666	920
420	668	918
421	669	916
422	670	914
423	671	912
424	672	910
425	673	907
426	674	905
427	675	903
428	677	901
429	678	898
430	679	896
431	680	894
432	681	892
433	682	890
434	683	888
435	684	885
436	685	883
437	687	881
438	688	879
439	689	877
440	690	875
441	691	873
442	693	871
443	694	869
444	695	867
445	696	864
446	697	862
447	698	860
448	699	857
449	700	855
450	701	853
451	702	851
452	703	849
453	704	847
454	705	845
455	706	843
456	707	841
457	708	838
458	709	836
459	710	834
460	711	832
461	712	830
462	714	828
463	715	826
464	716	824
465	717	821
466	718	819
467	719	817
468	720	815
469	721	813
470	722	811
471	723	809
472	725	807
473	726	805
474	727	804
475	728	802
476	729	800
477	731	798
478	732	796
479	733	794
480	734	792
481	735	790
482	736	788
483	738	787
484	739	785
485	740	783
486	742	781
487	743	779
488	744	777
489	745	776
490	747	774
491	748	772
492	750	771
493	751	769
494	752	767
495	753	765
496	754	763
497	755	761
498	756	759
499	757	757
500	759	755
501	760	754
502	761	752
503	762	750
504	763	748
505	764	746
506	765	744
507	766	742
508	767	740
509	769	738
510	770	737
511	771	735
512	772	733
513	773	731
514	774	729
515	776	727
516	777	726
517	778	724
518	779	722
519	780	720
520	781	718
521	782	716
522	783	714
523	785	713
524	786	711
525	787	709
526	788	707
527	789	706
528	791	704
529	792	702
530	793	700
531	795	699
532	796	697
533	797	696
534	800	695
535	801	694
536	803	692
537	804	691
538	806	689
539	808	688
540	809	686
541	810	684
542	811	683
543	813	681
544	814	679
545	815	677
546	816	676
547	818	674
548	819	673
549	820	671
550	822	670
551	823	668
552	824	666
553	825	664
554	827	663
555	829	662
556	830	660
557	831	658
558	833	657
559	834	655
560	835	653
561	836	652
562	838	650
563	839	649
564	840	647
565	842	645
566	843	644
567	844	642
568	846	640
569	847	639
570	848	637
571	850	636
572	851	634
573	852	632
574	853	631
575	854	629
576	855	627
577	857	625
578	858	624
579	859	622
580	860	620
581	862	619
582	863	617
583	865	616
584	867	615
585	868	613
586	869	611
587	870	610
588	872	608
589	874	607
590	875	606
591	877	604
592	878	602
593	879	601
594	880	599
595	881	597
596	882	595
597	884	594
598	885	592
599	886	590
600	887	589
601	888	587
602	890	586
603	891	584
604	892	582
605	893	581
606	895	579
607	896	578
608	898	576
609	899	574
610	900	573
611	901	571
612	902	569
613	903	568
614	904	566
615	906	564
616	907	563
617	908	561
618	909	559
619	910	558
620	911	556
621	912	554
622	913	553
623	915	551
624	916	549
625	917	548
626	918	546
627	919	544
628	921	543
629	922	541
630	923	540
631	924	538
632	925	536
633	927	535
634	928	533
635	930	532
636	931	530
637	932	529
638	934	527
639	935	526
640	936	524
641	937	522
642	939	521
643	940	520
644	942	518
645	943	517
646	944	515
647	946	514
648	948	512
649	949	511
650	950	509
651	952	508
652	954	507
